event_id,event_date,entity_id,source_system,event_type,severity,impacted_metric,records_impacted
EVT00001,2026-01-01,ENT001,customer success notes,qa_failure,Medium,feature_readiness,31306
EVT00002,2026-01-02,ENT002,user interviews,customer_request,High,collaboration_depth,9978
EVT00003,2026-01-03,ENT003,user interviews,release_review,Low,feature_readiness,48094
EVT00004,2026-01-04,ENT004,product events,manual_override,Critical,support_friction,59387
EVT00005,2026-01-05,ENT005,user interviews,experiment_readout,High,feature_readiness,22634
EVT00006,2026-01-06,ENT006,product events,refresh_delay,Critical,repeat_creation,16056
EVT00007,2026-01-07,ENT007,launch tracker,customer_request,Critical,activation_rate,46640
EVT00008,2026-01-08,ENT008,user interviews,refresh_delay,High,repeat_creation,60713
EVT00009,2026-01-09,ENT009,user interviews,definition_change,High,support_friction,7171
EVT00010,2026-01-10,ENT010,launch tracker,experiment_readout,Critical,repeat_creation,18631
EVT00011,2026-01-11,ENT011,Jira,experiment_readout,Low,repeat_creation,13466
EVT00012,2026-01-12,ENT012,Jira,manual_override,Medium,collaboration_depth,60091
EVT00013,2026-01-13,ENT013,customer success notes,refresh_delay,Critical,support_friction,34082
EVT00014,2026-01-14,ENT014,product events,manual_override,High,feature_readiness,51215
EVT00015,2026-01-15,ENT015,user interviews,customer_request,Medium,repeat_creation,31348
EVT00016,2026-01-16,ENT016,launch tracker,release_review,High,feature_readiness,48236
EVT00017,2026-01-17,ENT017,product events,refresh_delay,Medium,feature_readiness,49736
EVT00018,2026-01-18,ENT018,product events,manual_override,Critical,support_friction,16911
EVT00019,2026-01-19,ENT019,product events,customer_request,Medium,collaboration_depth,33099
EVT00020,2026-01-20,ENT020,Jira,definition_change,Critical,feature_readiness,19502
EVT00021,2026-01-21,ENT021,launch tracker,experiment_readout,Medium,collaboration_depth,57457
EVT00022,2026-01-22,ENT022,Jira,definition_change,High,repeat_creation,32358
EVT00023,2026-01-23,ENT023,product events,manual_override,Medium,repeat_creation,23933
EVT00024,2026-01-24,ENT024,product events,customer_request,High,collaboration_depth,29570
EVT00025,2026-01-25,ENT001,user interviews,customer_request,Low,repeat_creation,32178
EVT00026,2026-01-26,ENT002,Jira,experiment_readout,Medium,collaboration_depth,2446
EVT00027,2026-01-27,ENT003,product events,definition_change,Low,activation_rate,42961
EVT00028,2026-01-28,ENT004,Jira,manual_override,Low,support_friction,34661
EVT00029,2026-01-29,ENT005,user interviews,experiment_readout,Medium,collaboration_depth,49867
EVT00030,2026-01-30,ENT006,user interviews,experiment_readout,Low,repeat_creation,2461
EVT00031,2026-01-31,ENT007,Jira,customer_request,High,activation_rate,39488
